SID;partition;activity;potency;MolWt;LogP;MR;HeavyAtomCount;AtomCount;BondCount;NumHBA;NumHBD;NumRotatableBonds;FractionCSP3;FormalCharge;AromaticRings;AliphaticRings;AromaticAtoms;HeteroatoAromaticAtoms;ms;LabuteASA;nC;nF;nH;nN;nCl;nO;nS;nBr;nI;nP
386051288;386051288;Training;Active;7.00436480540245;373.468;3.9324;103.6218;27;27;29;4;1;8;0.454545454545455;0;2;1;12;12;5;160.078780600337;22;1;28;1;0;3;0;0;0;0
312369708;312369708;Training;Active;7;668.641;7.32030000000001;180.9399;46;46;50;6;2;11;0.4;0;4;1;21;21;11;278.767493952436;35;1;40;5;2;3;0;0;0;0
103560532;103560532;Training;Active;6.99567862621736;474.552;4.3268;123.6787;33;33;37;5;1;5;0.416666666666667;0;3;2;15;15;9;193.901621881741;24;3;25;4;0;1;1;0;0;0
26751714;26751714;Training;Active;6.95000714307986;450.573;5.32120000000001;128.238;33;33;36;3;0;10;0.357142857142857;0;3;1;18;18;5;195.153464897828;28;2;32;2;0;1;0;0;0;0
131278973;131278973;Training;Active;6.92009553233328;365.459;1.038;96.7539;25;25;27;6;2;6;0.5;0;2;1;10;10;9;147.125354558143;16;0;23;5;0;3;1;0;0;0
103528194;103528194;Training;Active;6.91044811711355;524.694;5.88514000000001;152.342;38;38;43;8;0;7;0.333333333333333;0;5;1;26;26;8;226.822746925076;30;0;32;6;0;1;1;0;0;0
378171153;378171153;Training;Active;6.90657831483776;376.386;3.1603;95.0624;27;27;30;5;2;5;0.388888888888889;0;3;1;15;15;9;153.393331930987;18;3;19;6;0;0;0;0;0;0
386051291;386051291;Training;Active;6.88605664769316;399.487;3.522;109.7868;29;29;32;6;1;8;0.478260869565217;0;2;2;12;12;6;171.499446617292;23;0;29;1;0;5;0;0;0;0
386051279;386051279;Training;Active;6.88605664769316;301.38;4.6918;84.447;22;22;24;1;0;4;0.368421052631579;0;2;1;12;12;3;130.128165448864;19;2;21;1;0;0;0;0;0;0
405266948;405266948;Training;Active;6.88272870434424;349.36;3.8863;86.303;25;25;27;5;0;4;0.352941176470588;0;3;0;16;16;8;142.665965321652;17;3;18;5;0;0;0;0;0;0
104234202;104234202;Training;Active;6.87712907713556;456.678;6.17024000000001;143.5208;34;34;37;2;2;11;0.4;2;4;0;20;20;4;203.7701520909;30;0;40;4;0;0;0;0;0;0
103560595;103560595;Training;Active;6.86966623150499;500.643;5.2174;143.3472;36;36;41;5;1;6;0.310344827586207;0;4;2;21;21;7;214.262703167556;29;1;29;4;0;1;1;0;0;0
405266964;405266964;Training;Active;6.86646109162978;337.305;2.1236;78.3928;24;24;26;6;1;6;0.266666666666667;0;3;0;16;16;9;134.730314845054;15;3;14;5;0;1;0;0;0;0
103560592;103560592;Training;Active;6.86327943284359;446.62;4.1745;130.3477;32;32;37;5;1;6;0.461538461538462;0;3;3;15;15;6;193.129068748226;26;0;30;4;0;1;1;0;0;0
160666617;160666617;Training;Active;6.85387196432176;357.925;5.49610000000001;105.208;25;25;27;2;0;6;0.454545454545455;0;2;1;12;12;3;156.30873244259;22;0;28;1;1;1;0;0;0;0
378171160;378171160;Training;Active;6.85387196432176;386.45;3.35392;104.6217;28;28;31;5;1;5;0.45;0;3;1;15;15;8;162.167652243449;20;2;24;6;0;0;0;0;0;0
405266976;405266976;Training;Active;6.85078088734462;358.232;4.28052;94.951;24;24;27;5;0;3;0.117647058823529;0;4;0;20;20;7;147.997787640785;17;0;13;5;2;0;0;0;0;0
103560585;103560585;Training;Active;6.84466396253494;474.552;4.3268;123.6787;33;33;37;5;1;5;0.416666666666667;0;3;2;15;15;9;193.901621881741;24;3;25;4;0;1;1;0;0;0
103560583;103560583;Training;Active;6.82390874094432;473.602;4.0663;133.4502;34;34;39;7;1;6;0.346153846153846;0;4;2;20;20;8;202.062501315422;26;0;27;5;0;2;1;0;0;0
